net,length_um
_01181_,178.99µm
_00830_,178.91µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_x\[1\],178.89µm
clknet_leaf_58_clk,178.89µm
net542,178.73µm
_00564_,178.64µm
_05862_,178.64µm
net1269,178.64µm
net221,178.13µm
net477,178.13µm
net2308,178.13µm
net2631,178.13µm
_01688_,177.72µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_x\[3\],177.72µm
net1040,177.67µm
_03490_,177.62µm
net2365,177.52µm
net2471,177.52µm
_01529_,177.11µm
net773,177.06µm
_04435_,176.96µm
clknet_leaf_46_clk,176.75µm
_00702_,176.6µm
_05033_,176.55µm
_05455_,176.4µm
net2261,176.4µm
net1948,176.04µm
clknet_leaf_35_clk,176.04µm
_05841_,175.94µm
net487,175.89µm
net1303,175.89µm
net2671,175.59µm
net2069,175.38µm
net261,175.33µm
net680,175.28µm
net2206,175.28µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_y\[1\],174.92µm
_03547_,174.87µm
_05369_,174.77µm
net474,174.77µm
net874,174.77µm
net938,174.77µm
net222,174.72µm
net2670,174.295µm
net1362,174.21µm
net2019,174.21µm
clknet_leaf_11_clk,174µm
_02520_,173.9µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[6\],173.8µm
_03551_,173.7µm
_05465_,173.7µm
_05763_,173.7µm
net461,173.7µm
net465,173.65µm
net1687,173.65µm
net2361,173.6µm
wrapper_inst.digital_domain_inst.raw_edge2_x\[2\],173.29µm
net2247,173.19µm
net2348,173.19µm
net2242,173.14µm
_00066_,173.09µm
_05839_,173.09µm
net1577,172.73µm
net54,172.58µm
_05460_,172.53µm
net206,172.53µm
_03563_,172.02µm
_05447_,172.02µm
net223,171.92µm
_00563_,171.46µm
net2086,171.46µm
net1639,171.41µm
wrapper_inst.digital_domain_inst.wave_controller_x_inst.phase_acc\[6\],171.36µm
net957,171.36µm
net716,171.05µm
net220,171µm
net911,171µm
net413,170.95µm
_03201_,170.9µm
_03445_,170.9µm
net211,170.8µm
net1745,170.54µm
clknet_leaf_16_clk,170.54µm
net7,170.29µm
net2042,170.29µm
_03575_,170.24µm
wrapper_inst.digital_domain_inst.raw_edge2_x\[13\],169.93µm
net1199,169.83µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[5\],169.78µm
net219,169.78µm
_03918_,169.73µm
net609,169.17µm
net2113,169.17µm
