net,length_um
wave_controller_x_inst/phase_acc\[16\],146.41µm
spi_regs_inst/net595,146.4µm
cal_phase0_offset_x\[0\],146.36µm
raw_edge2_x\[4\],146.31µm
wave_controller_y_inst/net1173,146.26µm
wave_controller_x_inst/net140,146.21µm
wave_controller_x_inst/net509,146.16µm
cal_phase90_offset_x\[11\],145.6µm
wave_controller_y_inst/net768,145.24µm
spi_regs_inst/net1089,145.19µm
wave_controller_x_inst/_1246_,145.14µm
wave_controller_y_inst/_1009_,145.14µm
wave_controller_y_inst/_1350_,145.04µm
net832,144.63µm
wave_controller_x_inst/net511,144.12µm
wave_controller_x_inst/_0893_,144.07µm
wave_controller_y_inst/_0893_,144.07µm
wave_controller_y_inst/net135,144.07µm
wave_controller_y_inst/_1255_,144.02µm
wave_controller_x_inst/net283,144.02µm
wave_controller_y_inst/net786,143.56µm
clknet_leaf_6_clk_regs,142.9µm
cal_phase0_offset_x\[1\],142.85µm
raw_edge3_y\[10\],142.85µm
wave_controller_y_inst/net269,142.85µm
spi_regs_inst/_0476_,142.44µm
wave_controller_y_inst/net179,142.39µm
wave_controller_x_inst/net1207,142.34µm
wave_controller_x_inst/net522,142.24µm
wave_controller_y_inst/phase_acc\[4\],141.93µm
spi_regs_inst/_0373_,141.88µm
spi_regs_inst/net1058,141.78µm
clknet_leaf_53_clk_regs,141.47µm
raw_edge1_x\[14\],141.27µm
cal_phase270_offset_y\[3\],141.22µm
cfg_phase90_offset_x\[10\],141.22µm
spi_regs_inst/_0419_,141.22µm
spi_regs_inst/_0675_,141.22µm
wave_controller_y_inst/_1243_,140.76µm
spi_regs_inst/net1072,140.74µm
wave_controller_x_inst/_0549_,140.56µm
cfg_phase90_offset_x\[9\],140.15µm
wave_controller_x_inst/net216,140.15µm
spi_regs_inst/_0693_,140.12µm
cal_phase0_offset_x\[6\],140.1µm
wave_controller_x_inst/net682,140.1µm
wave_controller_y_inst/net1099,140.1µm
wave_controller_y_inst/net787,140.05µm
cal_phase90_offset_x\[2\],140µm
wave_controller_y_inst/net651,139.64µm
clknet_leaf_18_clk_regs,139.64µm
wave_controller_x_inst/phase_acc\[10\],139.54µm
cfg_phase0_offset_y\[13\],139.08µm
cal_phase0_offset_x\[4\],139.04µm
wave_controller_x_inst/phase_acc\[2\],138.98µm
spi_regs_inst/net1013,138.98µm
wave_controller_y_inst/_0947_,138.88µm
spi_regs_inst/reg_wr_addr\[3\],138.57µm
wave_controller_y_inst/_0629_,138.57µm
net961,138.42µm
net1376,138.37µm
cfg_phase0_offset_y\[1\],137.91µm
spi_regs_inst/_0659_,137.91µm
cal_phase90_offset_y\[18\],137.86µm
signal_processor_y_inst/net462,137.45µm
wave_controller_y_inst/net492,137.35µm
wave_controller_x_inst/net1193,137.35µm
spi_regs_inst/net301,137.3µm
cfg_phase270_offset_x\[7\],137.25µm
cfg_phase0_offset_y\[6\],136.84µm
clknet_leaf_11_clk_regs,136.84µm
wave_controller_x_inst/_1248_,136.79µm
spi_regs_inst/_0493_,136.64µm
spi_regs_inst/_0679_,136.64µm
spi_regs_inst/net307,136.64µm
clknet_leaf_1_clk_regs,136.33µm
wave_controller_y_inst/_1248_,136.23µm
raw_edge2_x\[17\],136.18µm
wave_controller_x_inst/_0713_,136.18µm
wave_controller_x_inst/_0811_,136.13µm
spi_regs_inst/net1004,135.62µm
spi_regs_inst/net1079,135.62µm
wave_controller_y_inst/net771,135.55µm
cal_phase90_offset_y\[6\],135.52µm
wave_controller_x_inst/net521,135.11µm
spi_regs_inst/net1017,135.11µm
spi_regs_inst/_0642_,135.06µm
wave_controller_y_inst/net224,135.06µm
spi_regs_inst/net405,135.06µm
