net,length_um
wave_controller_y_inst/net280,154.05µm
cfg_phase90_offset_x\[11\],154µm
wave_controller_x_inst/net206,153.64µm
wave_controller_x_inst/net226,153.59µm
net872,152.98µm
spi_regs_inst/net1078,152.98µm
raw_edge3_y\[15\],152.88µm
clknet_leaf_41_clk,152.67µm
net853,152.01µm
cfg_phase0_offset_x\[7\],151.91µm
raw_edge2_x\[17\],151.91µm
cfg_phase90_offset_x\[18\],151.86µm
raw_edge3_x\[13\],151.86µm
net1407,151.81µm
spi_regs_inst/net1013,151.25µm
wave_controller_x_inst/net534,151.2µm
wave_controller_y_inst/_0630_,150.84µm
spi_regs_inst/_0488_,150.74µm
spi_regs_inst/_0531_,150.74µm
wave_controller_y_inst/net499,150.74µm
clknet_leaf_27_clk,150.53µm
spi_regs_inst/_0654_,150.13µm
wave_controller_y_inst/net135,150.13µm
spi_regs_inst/net154,150.08µm
wave_controller_x_inst/_0613_,149.72µm
cfg_phase0_offset_x\[11\],149.67µm
wave_controller_y_inst/net57,149.62µm
spi_regs_inst/net311,149.62µm
cal_phase0_offset_y\[1\],149.21µm
clknet_leaf_31_clk,149.16µm
wave_controller_y_inst/_1248_,149.06µm
cfg_phase0_offset_x\[2\],148.65µm
cfg_phase270_offset_y\[14\],148.42µm
wave_controller_x_inst/net101,148.4µm
clknet_leaf_23_clk,148.19µm
clknet_leaf_21_clk,148.14µm
clknet_leaf_33_clk,148.09µm
clknet_leaf_48_clk,148.09µm
wave_controller_x_inst/_1254_,148.04µm
wave_controller_x_inst/phase_acc\[2\],147.99µm
wave_controller_y_inst/net353,147.99µm
wave_controller_x_inst/net366,147.99µm
cal_phase90_offset_x\[20\],147.89µm
wave_controller_x_inst/net530,147.89µm
clknet_leaf_54_clk,147.73µm
clknet_leaf_22_clk,147.58µm
wave_controller_x_inst/phase_acc\[3\],147.48µm
spi_regs_inst/net429,147.48µm
wave_controller_y_inst/net187,147.43µm
spi_regs_inst/net1031,147.38µm
spi_regs_inst/_0466_,147.33µm
wave_controller_y_inst/net544,147.33µm
wave_controller_x_inst/_0615_,147.28µm
clknet_leaf_14_clk,146.97µm
wave_controller_x_inst/net1267,146.92µm
wave_controller_y_inst/net834,146.87µm
clknet_leaf_3_clk,146.87µm
wave_controller_x_inst/net299,146.82µm
clknet_leaf_43_clk,146.82µm
spi_regs_inst/_0383_,146.77µm
wave_controller_x_inst/_1219_,146.77µm
net1500,146.77µm
wave_controller_x_inst/net216,146.72µm
spi_regs_inst/net387,146.26µm
wave_controller_y_inst/net1156,146.26µm
spi_regs_inst/_0211_,146.21µm
spi_regs_inst/_0679_,146.21µm
wave_controller_y_inst/_1364_,146.21µm
spi_regs_inst/net381,145.75µm
spi_regs_inst/net1097,145.28µm
wave_controller_x_inst/net710,145.14µm
cfg_phase90_offset_x\[13\],145.09µm
wave_controller_x_inst/net1308,145.09µm
wave_controller_x_inst/net1208,145.04µm
signal_processor_x_inst/_042_,144.68µm
spi_regs_inst/reg_wr_addr\[0\],144.63µm
wave_controller_x_inst/_0495_,144.63µm
spi_regs_inst/net1075,144.48µm
clknet_leaf_44_clk,144.4µm
clknet_leaf_56_clk,144.17µm
net1410,144.02µm
raw_edge2_x\[5\],143.56µm
spi_regs_inst/net410,143.46µm
spi_regs_inst/reg_wr_data\[3\],143.41µm
spi_regs_inst/net1006,143.38µm
cfg_phase0_offset_y\[13\],142.95µm
spi_regs_inst/_0717_,142.9µm
clknet_leaf_15_clk,142.9µm
wave_controller_x_inst/net258,142.85µm
wave_controller_x_inst/_1315_,142.34µm
wave_controller_y_inst/net816,142.34µm
spi_regs_inst/_0288_,142.29µm
wave_controller_y_inst/net759,142.29µm
wave_controller_y_inst/_1254_,142.24µm
cal_phase270_offset_y\[8\],142.13µm
raw_edge2_y\[4\],141.98µm
spi_regs_inst/_0666_,141.88µm
spi_regs_inst/_0562_,141.78µm
spi_regs_inst/_0642_,141.78µm
wave_controller_y_inst/net244,141.78µm
wave_controller_x_inst/net738,141.73µm
cal_phase270_offset_x\[9\],141.69µm
spi_regs_inst/_0575_,141.52µm
clknet_leaf_45_clk,141.47µm
clknet_leaf_13_clk,141.42µm
spi_regs_inst/_0659_,141.32µm
clknet_leaf_24_clk,141.32µm
raw_edge3_y\[18\],141.27µm
cal_phase0_offset_y\[16\],141.22µm
cfg_f_MEMS_fcw_y\[8\],141.22µm
cfg_phase90_offset_x\[10\],141.17µm
wave_controller_y_inst/net240,141.12µm
wave_controller_y_inst/net833,140.89µm
wave_controller_x_inst/capture_step\[2\],140.76µm
cfg_f_MEMS_fcw_y\[5\],140.71µm
soft_rst,140.71µm
wave_controller_x_inst/_1208_,140.71µm
spi_regs_inst/net1139,140.66µm
wave_controller_y_inst/_1009_,140.61µm
net1258,140.61µm
wave_controller_x_inst/net141,140.56µm
spi_regs_inst/net316,140.1µm
wave_controller_x_inst/net1309,140.1µm
wave_controller_x_inst/_1284_,139.54µm
wave_controller_y_inst/_1315_,139.54µm
spi_regs_inst/net434,139.54µm
net1239,139.49µm
raw_edge2_y\[19\],139.03µm
spi_regs_inst/net430,139.03µm
spi_regs_inst/net439,138.98µm
wave_controller_y_inst/_1224_,138.93µm
wave_controller_y_inst/_0893_,138.88µm
wave_controller_x_inst/net1409,138.88µm
wave_controller_x_inst/_1245_,138.57µm
cal_phase270_offset_x\[5\],138.52µm
clknet_leaf_59_clk,138.47µm
spi_regs_inst/_0707_,138.37µm
wave_controller_y_inst/_1243_,137.96µm
spi_regs_inst/net413,137.96µm
clknet_leaf_35_clk,137.96µm
clknet_leaf_36_clk,137.96µm
wave_controller_x_inst/_1253_,137.86µm
spi_regs_inst/net418,137.86µm
signal_processor_x_inst/net474,137.86µm
spi_regs_inst/_0477_,137.81µm
wave_controller_y_inst/_1233_,137.81µm
net1235,137.81µm
net1205,137.76µm
clknet_leaf_55_clk,137.4µm
soft_rst_n,137.3µm
spi_regs_inst/_0367_,137.3µm
cfg_phase90_offset_y\[8\],137.25µm
spi_regs_inst/_0662_,137.25µm
spi_regs_inst/net1047,137.25µm
wave_controller_y_inst/_1029_,137.2µm
wave_controller_y_inst/net840,136.99µm
raw_edge2_y\[9\],136.84µm
spi_regs_inst/net415,136.84µm
spi_regs_inst/_0546_,136.74µm
spi_regs_inst/_0696_,136.74µm
wave_controller_y_inst/net800,136.74µm
cal_dir_y,136.69µm
spi_regs_inst/net1092,136.69µm
spi_regs_inst/net433,136.28µm
clknet_leaf_47_clk,136.28µm
spi_regs_inst/net441,136.18µm
wave_controller_y_inst/_0703_,136.08µm
wave_controller_x_inst/_1316_,135.77µm
spi_regs_inst/net1102,135.67µm
cal_phase270_offset_x\[3\],135.62µm
spi_regs_inst/_0527_,135.62µm
spi_regs_inst/net444,135.62µm
wave_controller_x_inst/net296,135.57µm
spi_regs_inst/net1003,135.57µm
spi_regs_inst/net1026,135.52µm
spi_regs_inst/_0616_,135.16µm
votes_in_phase_x\[1\],135.11µm
wave_controller_x_inst/_1009_,135.11µm
spi_regs_inst/net384,135.11µm
wave_controller_y_inst/net647,135.11µm
cfg_phase270_offset_x\[9\],135.01µm
wave_controller_y_inst/_0441_,135.01µm
wave_controller_y_inst/phase_acc\[12\],134.65µm
wave_controller_x_inst/_1215_,134.6µm
net844,134.6µm
net849,134.6µm
spi_regs_inst/reg_wr_data\[2\],134.5µm
spi_regs_inst/net162,134.5µm
spi_regs_inst/_0235_,134.45µm
wave_controller_x_inst/net541,134.45µm
spi_regs_inst/net1025,134.45µm
cal_phase90_offset_y\[12\],134.4µm
spi_regs_inst/_0217_,133.94µm
spi_regs_inst/_0561_,133.89µm
spi_regs_inst/net1042,133.89µm
