net,length_um
raw_edge3_y\[15\],146.21µm
spi_regs_inst/_0208_,146.21µm
wave_controller_x_inst/_1245_,145.93µm
spi_regs_inst/net398,145.75µm
wave_controller_x_inst/_0630_,145.7µm
wave_controller_y_inst/_1323_,145.7µm
spi_regs_inst/net421,145.65µm
net1495,145.65µm
net1132,145.6µm
cal_phase270_offset_x\[2\],145.48µm
spi_regs_inst/_0692_,145.19µm
wave_controller_x_inst/net135,145.09µm
wave_controller_x_inst/net243,145.09µm
raw_edge1_x\[14\],144.68µm
spi_regs_inst/net399,144.58µm
raw_edge3_y\[19\],144.53µm
wave_controller_y_inst/net70,144.53µm
wave_controller_y_inst/net176,144.53µm
spi_regs_inst/net1035,144.53µm
raw_edge2_x\[0\],144.22µm
spi_regs_inst/net586,144.04µm
wave_controller_y_inst/net740,144.02µm
spi_regs_inst/net1032,143.92µm
wave_controller_x_inst/net1443,143.92µm
clknet_leaf_51_clk_regs,143.71µm
clknet_leaf_31_clk_regs,143.61µm
votes_out_phase_y\[0\],143.46µm
wave_controller_x_inst/_0811_,143.46µm
spi_regs_inst/_0452_,143.41µm
spi_regs_inst/net297,143.41µm
net709,143.41µm
spi_regs_inst/net1028,143.36µm
wave_controller_x_inst/net504,142.95µm
wave_controller_y_inst/net130,142.9µm
signal_processor_x_inst/net457,142.9µm
wave_controller_y_inst/net1165,142.9µm
wave_controller_x_inst/net103,142.85µm
wave_controller_y_inst/net471,142.39µm
clknet_leaf_37_clk_regs,142.39µm
wave_controller_y_inst/_1255_,142.34µm
net742,142.29µm
wave_controller_y_inst/net800,142.29µm
net957,142.29µm
cal_phase270_offset_y\[8\],142.26µm
wave_controller_y_inst/net153,142.24µm
clknet_leaf_57_clk_regs,141.88µm
net1427,141.83µm
raw_edge3_y\[18\],141.78µm
wave_controller_x_inst/net942,141.73µm
spi_regs_inst/net1042,141.68µm
spi_regs_inst/_0542_,141.27µm
spi_regs_inst/net1080,141.27µm
wave_controller_y_inst/net51,141.17µm
clknet_leaf_21_clk_regs,140.86µm
clknet_leaf_52_clk_regs,140.86µm
