net,length_um
clknet_leaf_34_clk,123.91µm
_01757_,123.86µm
_03202_,123.81µm
raw_edge2_x\[19\],123.45µm
wave_controller_x_inst.wave_cycle_cnt\[4\],123.35µm
net332,123.35µm
_02766_,123.25µm
_03223_,123.1µm
net570,122.84µm
net279,122.74µm
_01147_,122.69µm
net627,122.33µm
_01756_,122.26µm
_04241_,122.18µm
net193,122.18µm
net260,122.18µm
_02966_,122.13µm
net362,122.13µm
cfg_phase90_offset_y\[19\],121.67µm
_00740_,121.57µm
net355,121.26µm
net567,121.16µm
_02335_,121.01µm
_02923_,120.96µm
net72,120.96µm
_01900_,120.6µm
_02747_,120.5µm
_04410_,120.5µm
net564,120.5µm
net236,120.45µm
spi_regs_inst.spi_addr\[2\],119.94µm
_00590_,119.89µm
_01725_,119.84µm
_01611_,119.48µm
net215,119.48µm
_00941_,119.33µm
_02014_,119.33µm
raw_edge1_y\[9\],118.92µm
raw_edge3_y\[9\],118.87µm
spi_regs_inst.spi_addr\[3\],118.87µm
_03184_,118.86µm
_00591_,118.82µm
_01770_,118.82µm
net221,118.82µm
_03135_,118.77µm
_02843_,118.26µm
cfg_f_MEMS_fcw_x\[10\],118.26µm
net185,118.26µm
net98,118.21µm
_02917_,118.16µm
net216,118.16µm
clknet_leaf_38_clk,117.8µm
net232,117.7µm
net48,117.65µm
net201,117.65µm
net82,117.6µm
raw_edge1_y\[15\],117.24µm
_02643_,117.04µm
net235,117.04µm
_02945_,116.68µm
net108,116.68µm
clknet_leaf_33_clk,116.63µm
_01177_,116.48µm
_02738_,116.48µm
raw_edge3_y\[16\],116.22µm
cfg_f_MEMS_fcw_x\[5\],116.2µm
net40,115.97µm
_03062_,115.92µm
net278,115.51µm
_01183_,115.46µm
clknet_leaf_4_clk,115.46µm
_02783_,115.34µm
wave_controller_x_inst.phase_acc\[1\],115.05µm
_00598_,114.95µm
net523,114.95µm
_01811_,114.9µm
net251,114.9µm
wave_controller_y_inst.phase_acc\[1\],114.39µm
_00619_,114.34µm
_00613_,114.29µm
net392,113.98µm
wave_controller_x_inst.wave_cycle_cnt\[5\],113.83µm
net241,113.68µm
wave_controller_x_inst.phase_acc\[0\],113.37µm
net272,113.32µm
net214,113.17µm
_01594_,113.12µm
_00572_,112.71µm
_02405_,112.71µm
_01562_,112.2µm
_01132_,112.1µm
_03314_,112.1µm
net467,112.05µm
_03072_,112µm
_00628_,111.69µm
_00701_,111.69µm
net212,111.64µm
_01773_,111.54µm
spi_regs_inst.rx_shift\[5\],111.54µm
net315,111.26µm
raw_edge2_y\[16\],111.08µm
net239,111.08µm
raw_edge2_x\[7\],111.03µm
wave_controller_y_inst.phase_acc\[9\],111.03µm
_03205_,110.98µm
_02367_,110.93µm
net85,110.93µm
net314,110.93µm
_03197_,110.88µm
net335,110.88µm
wave_controller_x_inst.phase_acc\[20\],110.42µm
wave_controller_y_inst.phase_acc\[17\],110.37µm
_00636_,110.32µm
net349,110.16µm
_02267_,109.81µm
_01797_,109.6µm
_01836_,109.3µm
net30,109.2µm
net226,108.84µm
clknet_leaf_7_clk,108.84µm
signal_processor_x_inst.votes_out_phase\[0\],108.74µm
_01588_,108.71µm
_00756_,108.33µm
net270,108.18µm
_02969_,108.13µm
_02968_,108.08µm
_03105_,108.08µm
cfg_f_MEMS_fcw_x\[3\],107.72µm
net302,107.67µm
_03508_,107.62µm
_01270_,107.57µm
net225,107.16µm
_01772_,107.06µm
_02330_,107.06µm
_03097_,107.06µm
_03128_,107.01µm
wave_controller_y_inst.phase_acc\[5\],106.6µm
_00566_,106.55µm
net588,106.55µm
net261,106.45µm
net533,106.14µm
net338,106.09µm
