net,length_um
spi_regs_inst/_0377_,177.82µm
cfg_phase0_offset_y\[17\],177.62µm
spi_regs_inst/_0376_,177.11µm
wave_controller_y_inst/_1246_,176.7µm
clknet_leaf_1_clk,176.7µm
cfg_f_MEMS_fcw_y\[4\],176.55µm
clknet_leaf_32_clk,176.14µm
cal_phase90_offset_x\[15\],175.99µm
signal_processor_x_inst/_055_,175.48µm
spi_regs_inst/net206,175.33µm
cfg_phase0_offset_x\[11\],174.92µm
raw_edge3_y\[4\],174.87µm
wave_controller_x_inst/phase_acc\[10\],174.46µm
wave_controller_x_inst/_1226_,174.36µm
spi_regs_inst/net289,174.26µm
clknet_leaf_6_clk,174µm
cal_phase90_offset_x\[18\],173.75µm
spi_regs_inst/net194,173.7µm
net576,173.7µm
wave_controller_y_inst/net314,173.29µm
clknet_leaf_40_clk,172.27µm
cfg_phase90_offset_y\[6\],172.07µm
cfg_phase90_offset_x\[19\],172.02µm
net557,172.02µm
wave_controller_x_inst/phase_acc\[8\],171.66µm
spi_regs_inst/net187,171.56µm
clknet_leaf_11_clk,171.1µm
clknet_leaf_0_clk,170.03µm
wave_controller_x_inst/_1227_,169.98µm
raw_edge1_x\[18\],169.93µm
spi_regs_inst/_0288_,169.38µm
cal_phase90_offset_x\[8\],169.22µm
wave_controller_x_inst/_1312_,169.22µm
clknet_leaf_9_clk,169.14µm
wave_controller_y_inst/_1266_,168.76µm
spi_regs_inst/net235,168.71µm
state_o\[1\],168.61µm
spi_regs_inst/net309,168.61µm
clknet_leaf_37_clk,168.35µm
net563,168.3µm
cfg_phase0_offset_x\[12\],168.15µm
wave_controller_x_inst/_1235_,168.1µm
cfg_phase270_offset_y\[6\],167.69µm
signal_processor_y_inst/_046_,167.69µm
cfg_phase0_offset_x\[18\],167.64µm
wave_controller_y_inst/_0635_,167.44µm
wave_controller_x_inst/net621,167.13µm
wave_controller_y_inst/phase_acc\[1\],167.08µm
signal_processor_x_inst/net586,167.08µm
clknet_leaf_7_clk,167.08µm
cfg_phase0_offset_y\[3\],167.03µm
spi_regs_inst/_0429_,166.93µm
cal_phase270_offset_x\[6\],166.52µm
raw_edge2_y\[1\],166.52µm
cfg_f_MEMS_fcw_x\[1\],165.96µm
signal_processor_y_inst/_055_,165.96µm
wave_controller_x_inst/_0491_,165.91µm
cfg_f_MEMS_fcw_y\[1\],165.86µm
votes_out_phase_x\[0\],165.81µm
cfg_phase0_offset_y\[11\],165.45µm
wave_controller_x_inst/phase_acc\[2\],165.3µm
spi_regs_inst/net338,164.94µm
net589,164.79µm
cfg_f_MEMS_fcw_y\[11\],164.74µm
cfg_f_MEMS_fcw_y\[13\],164.74µm
wave_controller_x_inst/net161,164.13µm
net583,163.72µm
spi_regs_inst/_0334_,163.71µm
spi_regs_inst/net241,163.57µm
spi_regs_inst/net343,163.26µm
clknet_leaf_24_clk,162.65µm
spi_regs_inst/net287,162.45µm
net584,162.09µm
wave_controller_y_inst/_0690_,161.89µm
cal_phase0_offset_y\[2\],161.78µm
spi_regs_inst/net272,161.43µm
raw_edge2_x\[3\],161.38µm
spi_regs_inst/_0482_,161.33µm
wave_controller_x_inst/net437,160.97µm
wave_controller_x_inst/net538,160.97µm
cal_phase90_offset_y\[17\],160.87µm
net591,160.87µm
cfg_f_MEMS_fcw_x\[6\],160.82µm
spi_regs_inst/spi_addr\[0\],160.82µm
cfg_phase90_offset_y\[15\],160.41µm
wave_controller_x_inst/net448,160.21µm
wave_controller_y_inst/net503,159.8µm
cfg_phase0_offset_x\[8\],159.75µm
spi_regs_inst/_0717_,159.7µm
spi_regs_inst/net253,159.6µm
cal_phase270_offset_y\[17\],159.19µm
wave_controller_y_inst/_1317_,159.19µm
spi_regs_inst/net211,159.14µm
cfg_phase270_offset_y\[3\],159.09µm
wave_controller_y_inst/_1680_,159.04µm
spi_regs_inst/net219,158.67µm
spi_regs_inst/net257,158.63µm
cfg_phase0_offset_x\[16\],158.58µm
spi_regs_inst/_0293_,158.58µm
clknet_leaf_35_clk,158.27µm
signal_processor_x_inst/net396,158.12µm
spi_regs_inst/net217,157.97µm
spi_regs_inst/net336,157.71µm
wave_controller_y_inst/_1238_,157.56µm
cal_phase90_offset_x\[7\],157.41µm
cfg_phase0_offset_x\[19\],157.41µm
spi_regs_inst/net256,157.36µm
cal_phase0_offset_y\[4\],157µm
cfg_phase90_offset_x\[14\],156.9µm
clknet_leaf_10_clk,156.39µm
spi_regs_inst/net251,156.37µm
cfg_f_MEMS_fcw_x\[13\],156.34µm
cal_phase90_offset_y\[18\],156.29µm
wave_controller_y_inst/net320,156.29µm
cfg_phase270_offset_x\[3\],156.24µm
spi_regs_inst/_0677_,156.24µm
clknet_leaf_12_clk,156.13µm
cfg_phase270_offset_x\[4\],155.78µm
